Wins, Matches, Contermatches
497, 1, 4
512, 4, 5
469, 8, 4
479, 6, 8
479, 6, 5
488, 8, 5
478, 7, 3
431, 1, 6
477, 4, 2
494, 4, 4
490, 5, 3
481, 1, 2
506, 4, 2
460, 2, 5
480, 5, 6
502, 2, 1
469, 2, 3
503, 2, 3
483, 5, 3
475, 7, 1
508, 7, 7
492, 6, 6
506, 5, 8
486, 4, 2
485, 2, 2
492, 2, 4
502, 4, 4
483, 5, 8
492, 2, 6
471, 7, 2
491, 3, 3
467, 3, 8
473, 5, 4
496, 2, 5
508, 5, 2
481, 4, 4
464, 4, 4
480, 6, 3
511, 1, 5
456, 1, 8
463, 5, 3
507, 5, 9
483, 8, 4
463, 1, 6
482, 6, 3
462, 3, 5
487, 4, 8
463, 5, 4
504, 5, 2
493, 6, 2
502, 6, 5
