Wins, Matches, Contermatches
428, 10, 8
446, 6, 4
411, 8, 5
474, 17, 14
435, 6, 13
418, 8, 8
437, 11, 8
465, 11, 13
486, 9, 9
417, 8, 6
423, 7, 8
426, 10, 9
433, 5, 8
445, 3, 7
399, 7, 18
444, 9, 13
394, 9, 11
406, 6, 6
398, 9, 19
445, 9, 8
432, 3, 7
444, 9, 7
457, 12, 13
426, 6, 10
446, 8, 9
464, 10, 7
433, 9, 10
422, 8, 11
432, 2, 8
430, 11, 9
440, 12, 5
402, 9, 7
444, 7, 6
429, 11, 7
411, 10, 10
428, 10, 9
431, 15, 4
465, 13, 9
441, 11, 8
445, 8, 11
429, 12, 5
425, 10, 7
432, 7, 10
462, 10, 7
425, 6, 9
453, 11, 6
439, 7, 10
427, 6, 9
435, 9, 5
429, 9, 10
