Wins, Matches, Contermatches
474, 28, 30
466, 19, 18
503, 17, 18
473, 38, 22
489, 21, 15
507, 25, 13
491, 30, 20
475, 32, 23
485, 23, 19
450, 30, 19
488, 31, 26
497, 25, 16
464, 21, 22
514, 28, 15
489, 30, 22
505, 35, 30
502, 23, 22
481, 27, 24
494, 26, 25
477, 36, 19
491, 16, 16
477, 27, 14
472, 25, 21
487, 19, 15
482, 21, 24
485, 29, 15
481, 26, 17
478, 25, 20
457, 20, 21
490, 25, 21
516, 19, 21
476, 20, 14
501, 21, 19
497, 30, 14
485, 26, 23
455, 31, 24
483, 22, 19
492, 26, 12
483, 26, 26
477, 27, 27
508, 20, 16
495, 23, 17
480, 31, 18
481, 22, 15
496, 22, 20
460, 24, 16
484, 26, 18
486, 28, 22
491, 28, 16
492, 26, 22
