Wins, Matches, Contermatches
417, 7, 12
445, 10, 9
423, 9, 21
432, 4, 13
430, 5, 7
431, 10, 12
425, 8, 13
423, 7, 10
417, 6, 9
435, 9, 7
421, 7, 6
428, 9, 8
430, 11, 14
424, 6, 8
417, 9, 7
414, 6, 12
441, 4, 6
442, 13, 4
435, 8, 8
457, 8, 6
435, 9, 6
444, 10, 7
420, 11, 9
410, 11, 17
424, 14, 15
441, 8, 5
392, 8, 5
419, 6, 10
401, 13, 8
442, 6, 6
440, 9, 13
421, 5, 14
445, 10, 6
447, 4, 10
422, 14, 6
418, 1, 14
428, 4, 6
419, 6, 12
419, 14, 3
446, 12, 12
425, 6, 11
412, 10, 8
444, 7, 6
435, 8, 9
404, 7, 9
428, 10, 17
416, 6, 7
430, 11, 11
443, 9, 13
448, 12, 6
